ID,YEAR,MONTH,ELEMENT,VALUE1,MFLAG1,QFLAG1,SFLAG1,VALUE2,MFLAG2,QFLAG2,SFLAG2,VALUE3,MFLAG3,QFLAG3,SFLAG3,VALUE4,MFLAG4,QFLAG4,SFLAG4,VALUE5,MFLAG5,QFLAG5,SFLAG5,VALUE6,MFLAG6,QFLAG6,SFLAG6,VALUE7,MFLAG7,QFLAG7,SFLAG7,VALUE8,MFLAG8,QFLAG8,SFLAG8,VALUE9,MFLAG9,QFLAG9,SFLAG9,VALUE10,MFLAG10,QFLAG10,SFLAG10,VALUE11,MFLAG11,QFLAG11,SFLAG11,VALUE12,MFLAG12,QFLAG12,SFLAG12,VALUE13,MFLAG13,QFLAG13,SFLAG13,VALUE14,MFLAG14,QFLAG14,SFLAG14,VALUE15,MFLAG15,QFLAG15,SFLAG15,VALUE16,MFLAG16,QFLAG16,SFLAG16,VALUE17,MFLAG17,QFLAG17,SFLAG17,VALUE18,MFLAG18,QFLAG18,SFLAG18,VALUE19,MFLAG19,QFLAG19,SFLAG19,VALUE20,MFLAG20,QFLAG20,SFLAG20,VALUE21,MFLAG21,QFLAG21,SFLAG21,VALUE22,MFLAG22,QFLAG22,SFLAG22,VALUE23,MFLAG23,QFLAG23,SFLAG23,VALUE24,MFLAG24,QFLAG24,SFLAG24,VALUE25,MFLAG25,QFLAG25,SFLAG25,VALUE26,MFLAG26,QFLAG26,SFLAG26,VALUE27,MFLAG27,QFLAG27,SFLAG27,VALUE28,MFLAG28,QFLAG28,SFLAG28,VALUE29,MFLAG29,QFLAG29,SFLAG29,VALUE30,MFLAG30,QFLAG30,SFLAG30,VALUE31,MFLAG31,QFLAG31,SFLAG31
USC00428922,1914,02,TOBS,-17,,,6,-22,,,6,0,,,6,11,,,6,-39,,,6,-50,,,6,-9999,,,,17,,,6,-9999,,,,17,,,6,17,,,6,22,,,6,11,,,6,6,,,6,-6,,,6,22,,,6,44,,,6,72,,,6,78,,,6,72,,,6,39,,,6,44,,,6,33,,,6,44,,,6,44,,,6,17,,,6,17,,,6,100,,,6,-9999,,,,-9999,,,,-9999,,,
USC00428922,1914,02,PRCP,0,P,,6,0,P,,6,0,P,,6,13,,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,81,,,6,43,,,6,15,,,6,0,P,,6,114,,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,-9999,,,,-9999,,,,-9999,,,
USC00428922,1914,03,TMAX,167,,,6,178,,,6,72,,,6,89,,,6,106,,,6,167,,,6,144,,,6,178,,,6,167,,,6,183,,,6,156,,,6,161,,,6,167,,,6,178,,,6,189,,,6,189,,,6,144,,,6,167,,,6,183,,,6,211,,,6,178,,,6,144,,,6,150,,,6,-9999,,,,-9999,,,,117,,,6,106,,,6,106,,,6,111,,,6,117,,,6,133,,,6
USC00428922,1914,03,TMIN,17,,,6,-22,,,6,-39,,,6,-6,,,6,22,,,6,-6,,,6,0,,,6,-9999,,,,44,,,6,33,,,6,-22,,,6,0,,,6,-11,,,6,0,,,6,17,,,6,17,,,6,33,,,6,22,,,6,6,,,6,0,,,6,-17,,,6,-22,,,6,-22,,,6,-33,,,6,-44,,,6,11,,,6,33,,,6,28,,,6,17,,,6,22,,,6,6,,,6
USC00428922,1914,03,TOBS,150,,,6,17,,,6,56,,,6,-9999,,,,-9999,,,,144,,,6,133,,,6,167,,,6,144,,,6,117,,,6,117,,,6,133,,,6,144,,,6,144,,,6,150,,,6,-9999,,,,122,,,6,150,,,6,122,,,6,106,,,6,89,,,6,122,,,6,44,,,6,83,,,6,61,,,6,100,,,6,33,,,6,44,,,6,100,,,6,117,,,6,111,,,6
USC00428922,1914,03,PRCP,-9999,,,,-9999,,,,127,,,6,-9999,,,,5,,,6,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,0,T,,6,13,,,6,-9999,,,,-9999,,,,-9999,,,,23,,,6,15,,,6,-9999,,,,-9999,,,,-9999,,,
USC00428922,1914,04,TMAX,178,,,6,172,,,6,189,,,6,233,,,6,200,,,6,144,,,6,139,,,6,139,,,6,156,,,6,150,,,6,128,,,6,161,,,6,211,,,6,217,,,6,194,,,6,111,,,6,144,,,6,211,,,6,233,,,6,222,,,6,217,,,6,217,,,6,222,,,6,239,,,6,178,,,6,178,,,6,156,,,6,144,,,6,139,,,6,161,,,6,-9999,,,
USC00428922,1914,04,TMIN,11,,,6,28,,,6,0,,,6,0,,,6,0,,,6,-11,,,6,-11,,,6,-11,,,6,-6,,,6,0,,,6,-22,,,6,-22,,,6,50,,,6,94,,,6,50,,,6,28,,,6,33,,,6,56,,,6,89,,,6,56,,,6,56,,,6,72,,,6,-11,,,6,44,,,6,22,,,6,17,,,6,17,,,6,22,,,6,17,,,6,6,,,6,-9999,,,
USC00428922,1914,04,TOBS,161,,,6,156,,,6,156,,,6,189,,,6,-9999,,,,94,,,6,128,,,6,122,,,6,89,,,6,61,,,6,117,,,6,111,,,6,194,,,6,172,,,6,56,,,6,94,,,6,100,,,6,122,,,6,128,,,6,133,,,6,128,,,6,133,,,6,194,,,6,178,,,6,133,,,6,139,,,6,-9999,,,,122,,,6,111,,,6,78,,,6,-9999,,,
USC00428922,1914,04,PRCP,43,,,6,-9999,,,,-9999,,,,-9999,,,,102,,,6,53,,,6,-9999,,,,-9999,,,,-9999,,,,114,,,6,5,,,6,-9999,,,,-9999,,,,-9999,,,,231,,,6,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,99,,,6,-9999,,,,-9999,,,,38,,,6,15,,,6,48,,,6,-9999,,,
USC00428922,1914,05,TMAX,156,,,6,167,,,6,183,,,6,206,,,6,217,,,6,211,,,6,217,,,6,250,,,6,211,,,6,233,,,6,283,,,6,283,,,6,272,,,6,267,,,6,267,,,6,317,,,6,256,,,6,250,,,6,256,,,6,261,,,6,267,,,6,261,,,6,278,,,6,278,,,6,278,,,6,272,,,6,272,,,6,261,,,6,267,,,6,-9999,,,,-9999,,,
USC00428922,1914,05,TMIN,6,,,6,11,,,6,11,,,6,6,,,6,17,,,6,11,,,6,17,,,6,22,,,6,33,,,6,17,,,6,39,,,6,44,,,6,56,,,6,72,,,6,78,,,6,83,,,6,89,,,6,83,,,6,94,,,6,89,,,6,83,,,6,83,,,6,78,,,6,78,,,6,28,,,6,33,,,6,39,,,6,28,,,6,33,,,6,-9999,,,,-9999,,,
USC00428922,1914,05,TOBS,78,,,6,128,,,6,150,,,6,156,,,6,167,,,6,178,,,6,161,,,6,161,,,6,194,,,6,183,,,6,194,,,6,194,,,6,200,,,6,206,,,6,200,,,6,206,,,6,194,,,6,189,,,6,194,,,6,194,,,6,178,,,6,183,,,6,194,,,6,178,,,6,172,,,6,178,,,6,178,,,6,200,,,6,211,,,6,-9999,,,,-9999,,,
USC00428922,1914,05,PRCP,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,38,,,6,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,76,,,6,-9999,,,,-9999,,,,-9999,,,,165,,,6,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,
USC00428922,1914,06,TMAX,-9999,,,,-9999,,,,-9999,,,,217,,,6,222,,,6,122,,,6,172,,,6,144,,,6,228,,,6,239,,,6,283,,,6,289,,,6,256,,,6,244,,,6,-9999,,,,267,,,6,294,,,6,322,,,6,289,,,6,261,,,6,228,,,6,-9999,,,,267,,,6,306,,,6,300,,,6,211,,,6,294,,,6,289,,,6,317,,,6,-9999,,,,-9999,,,
USC00428922,1914,06,TMIN,-9999,,,,-9999,,,,-9999,,,,94,,,6,61,,,6,0,,,6,39,,,6,72,,,6,144,,,6,94,,,6,117,,,6,144,,,6,117,,,6,50,,,6,122,,,6,100,,,6,133,,,6,139,,,6,178,,,6,150,,,6,-9999,,,,128,,,6,117,,,6,133,,,6,122,,,6,61,,,6,78,,,6,144,,,6,139,,,6,194,,,6,-9999,,,
USC00428922,1914,06,TOBS,-9999,,,,-9999,,,,133,,,6,206,,,6,61,,,6,111,,,6,89,,,6,139,,,6,228,,,6,178,,,6,261,,,6,250,,,6,178,,,6,211,,,6,-9999,,,,267,,,6,283,,,6,222,,,6,233,,,6,222,,,6,156,,,6,206,,,6,217,,,6,294,,,6,156,,,6,200,,,6,267,,,6,272,,,6,311,,,6,233,,,6,-9999,,,
USC00428922,1914,06,PRCP,-9999,,,,66,,,6,58,,,6,246,,,6,18,,,6,119,,,6,-9999,,,,117,,,6,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,5,,,6,51,,,6,5,,,6,-9999,,,,5,,,6,-9999,,,,-9999,,,,122,,,6,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,
USC00428922,1914,07,TMAX,306,,,6,311,,,6,361,,,6,244,,,6,-9999,,,,317,,,6,333,,,6,356,,,6,278,,,6,267,,,6,317,,,6,344,,,6,328,,,6,322,,,6,294,,,6,300,,,6,306,,,6,317,,,6,333,,,6,300,,,6,239,,,6,233,,,6,289,,,6,322,,,6,322,,,6,306,,,6,306,,,6,322,,,6,322,,,6,317,,,6,306,,,6
USC00428922,1914,07,TMIN,183,,,6,139,,,6,-9999,,,,161,,,6,111,,,6,189,,,6,167,,,6,183,,,6,194,,,6,-9999,,,,156,,,6,189,,,6,211,,I,6,178,,,6,178,,,6,161,,,6,167,,,6,167,,,6,167,,,6,172,,,6,139,,,6,139,,,6,-9999,,,,150,,,6,117,,,6,172,,,6,172,,,6,183,,,6,178,,,6,206,,,6,183,,,6
USC00428922,1914,07,TOBS,-9999,,,,228,,,6,172,,,6,239,,,6,256,,,6,300,,,6,294,,,6,244,,,6,-9999,,,,228,,,6,261,,,6,200,,I,6,311,,,6,278,,,6,289,,,6,211,,,6,244,,,6,300,,,6,-9999,,,,-9999,,,,178,,,6,233,,,6,267,,,6,311,,,6,256,,,6,233,,,6,256,,,6,256,,,6,278,,,6,233,,,6,267,,,6
USC00428922,1914,07,PRCP,0,P,,6,5,,,6,0,P,,6,91,,,6,84,,,6,0,P,,6,0,P,,6,5,,,6,5,,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,5,,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,5,,,6,51,,,6,36,,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,T,,6,0,T,,6,0,T,,6
USC00428922,1914,08,TMAX,328,,,6,339,,,6,339,,,6,339,,,6,339,,,6,344,,,6,333,,,6,333,,,6,317,,,6,294,,,6,306,,,6,339,,,6,356,,,6,361,,,6,356,,,6,356,,,6,311,,,6,283,,,6,317,,,6,339,,,6,322,,,6,317,,,6,322,,,6,317,,,6,322,,,6,289,,,6,294,,,6,267,,,6,278,,,6,289,,,6,261,,,6
USC00428922,1914,08,TMIN,178,,,6,189,,,6,183,,,6,178,,,6,178,,,6,183,,,6,189,,,6,211,,,6,172,,,6,150,,,6,139,,,6,156,,,6,172,,,6,167,,,6,200,,,6,200,,,6,200,,,6,161,,,6,117,,,6,161,,,6,189,,,6,139,,,6,122,,,6,161,,,6,178,,,6,178,,,6,117,,,6,122,,,6,156,,,6,133,,,6,161,,,6
USC00428922,1914,08,TOBS,272,,,6,311,,,6,328,,,6,322,,,6,328,,,6,322,,,6,328,,,6,311,,,6,267,,,6,267,,,6,294,,,6,211,,,6,272,,,6,322,,,6,333,,,6,289,,,6,267,,,6,-9999,,,,300,,,6,283,,,6,306,,,6,222,,,6,306,,,6,300,,,6,-9999,,,,189,,,6,256,,,6,217,,,6,211,,,6,206,,,6,211,,,6
USC00428922,1914,08,PRCP,-9999,,,,-9999,,,,86,,,6,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,
USC00428922,1914,09,TMAX,283,,,6,317,,,6,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,228,,,6,256,,,6,294,,,6,278,,,6,133,,,6,194,,,6,222,,,6,217,,,6,300,,,6,322,,,6,322,,,6,261,,,6,183,,,6,211,,,6,244,,,6,272,,,6,300,,,6,256,,,6,256,,,6,222,,I,6,239,,,6,228,,,6,-9999,,,
USC00428922,1914,09,TMIN,-9999,,,,-9999,,,,-9999,,,,122,,,6,-9999,,,,-9999,,,,-9999,,,,161,,,6,61,,,6,67,,,6,72,,,6,17,,,6,33,,,6,33,,,6,61,,,6,33,,,6,133,,,6,139,,,6,144,,,6,144,,,6,56,,,6,56,,,6,67,,,6,78,,,6,94,,,6,117,,,6,94,,,6,61,,,6,122,,,6,128,,,6,-9999,,,
USC00428922,1914,09,TOBS,183,,,6,211,,,6,239,,,6,239,,,6,211,,,6,239,,,6,239,,,6,194,,,6,128,,,6,211,,,6,278,,,6,94,,,6,111,,,6,161,,,6,78,,,6,144,,,6,289,,,6,311,,,6,256,,,6,161,,,6,111,,,6,189,,,6,211,,,6,261,,,6,228,,,6,206,,,6,239,,I,6,189,,,6,150,,,6,183,,,6,-9999,,,
USC00428922,1914,09,PRCP,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,13,,,6,5,,,6,13,,,6,10,,,6,-9999,,,
