,PRCP_US1UTWS0009,PRCP_USC00421285,PRCP_USC00421918,TMIN_USC00421918,TMAX_USC00421918,PRCP_USC00422294,TMIN_USC00422294,TMAX_USC00422294,PRCP_USC00422726,PRCP_USC00423335,TMIN_USC00424846,TMAX_USC00424846,PRCP_USC00425705,TMIN_USC00425705,TMAX_USC00425705,PRCP_USC00427255,TMIN_USC00427255,TMAX_USC00427255,PRCP_USC00427576,TMIN_USC00427576,PRCP_USC00428114,TMIN_USC00428114,TMAX_USC00428114,PRCP_USC00428668,PRCP_USC00428741,SNOW_USC00428741,SNWD_USC00428741,TMIN_USC00428741,TMAX_USC00428741,TMIN_USC00428939,TMAX_USC00428939,PRCP_USC00429133,TMIN_USC00429133,TMAX_USC00429133,PRCP_USC00429560,TMIN_USC00429560,TMAX_USC00429560,PRCP_USW00024126,SNOW_USW00024126,SNWD_USW00024126,TMIN_USW00024126,TMAX_USW00024126,depth
1958-11,3.933333333333333,16.7,7.8,-72.7,85.93333333333334,9.033333333333333,-69.8,86.86666666666666,19.633333333333333,11.6,-59.06666666666667,59.8,7.12,-98.35,71.35,21.333333333333332,-37.766666666666666,78.93333333333334,11.7,-29.55,22.266666666666666,-11.689655172413794,98.5,8.3,32.56666666666667,27.1,143.86666666666667,-22.233333333333334,90.93333333333334,-41.1,78.3,13.533333333333333,-56.3,78.5,11.933333333333334,-94.66666666666667,43.93333333333333,9.6,8.8,22.033333333333335,-24.533333333333335,99.86666666666666,4195.25
1958-12,6.709677419354839,12.193548387096774,6.870967741935484,-97.64516129032258,67.74193548387096,3.774193548387097,-69.16129032258064,73.12903225806451,2.161290322580645,2.5483870967741935,-51.03225806451613,52.67741935483871,1.064516129032258,-57.903225806451616,78.93548387096774,10.935483870967742,-27.35483870967742,59.645161290322584,1.0,-36.9,7.645161290322581,-25.612903225806452,75.6774193548387,11.290322580645162,2.3870967741935485,1.6451612903225807,31.129032258064516,-22.129032258064516,71.0,-48.25806451612903,63.03225806451613,6.709677419354839,-56.45161290322581,70.48387096774194,2.3870967741935485,-95.12903225806451,39.83870967741935,4.483870967741935,2.3870967741935485,2.4193548387096775,-29.774193548387096,76.54838709677419,4195.3
1959-01,12.774193548387096,31.580645161290324,6.666666666666667,-109.45161290322581,31.64516129032258,10.64516129032258,-94.61290322580645,42.70967741935484,9.935483870967742,5.074074074074074,-91.58064516129032,19.774193548387096,10.193548387096774,-73.83870967741936,51.354838709677416,11.096774193548388,-55.16129032258065,34.225806451612904,3.6206896551724137,-46.95454545454545,14.67741935483871,-35.806451612903224,60.25806451612903,13.0,14.741935483870968,13.903225806451612,28.766666666666666,-40.83870967741935,57.74193548387097,-52.67741935483871,46.03225806451613,7.903225806451613,-84.25806451612904,37.645161290322584,1.8064516129032258,-124.61290322580645,3.7419354838709675,13.129032258064516,9.67741935483871,9.774193548387096,-38.54838709677419,59.483870967741936,4195.5
1959-02,17.928571428571427,24.928571428571427,31.571428571428573,-99.67857142857143,37.892857142857146,9.428571428571429,-78.39285714285714,39.392857142857146,20.071428571428573,10.928571428571429,-97.42857142857143,24.285714285714285,11.75,-67.21428571428571,49.67857142857143,10.928571428571429,-51.964285714285715,39.464285714285715,4.346153846153846,-32.285714285714285,34.714285714285715,-30.40740740740741,67.46428571428571,25.75,20.178571428571427,25.428571428571427,95.21428571428571,-34.035714285714285,56.785714285714285,-36.607142857142854,61.5,14.107142857142858,-81.89285714285714,31.178571428571427,6.428571428571429,-140.07142857142858,4.642857142857143,12.857142857142858,13.75,29.928571428571427,-25.0,69.96428571428571,4195.75
1959-03,8.451612903225806,16.806451612903224,8.32258064516129,-79.90322580645162,89.38709677419355,7.806451612903226,-51.25806451612903,90.29032258064517,8.483870967741936,5.387096774193548,-64.83870967741936,52.225806451612904,9.096774193548388,-38.32142857142857,106.17857142857143,12.483870967741936,-30.483870967741936,99.25806451612904,5.774193548387097,-10.08695652173913,11.870967741935484,-11.419354838709678,120.19354838709677,12.290322580645162,6.967741935483871,0.0,0.0,-10.612903225806452,106.64516129032258,-20.419354838709676,105.2258064516129,12.32258064516129,-55.58064516129032,76.12903225806451,4.935483870967742,-82.19354838709677,43.096774193548384,6.451612903225806,0.3225806451612903,0.0,-12.709677419354838,116.93548387096774,4195.95
1959-04,15.733333333333333,20.766666666666666,10.5,-42.37931034482759,160.41379310344828,8.733333333333333,-12.166666666666666,162.96666666666667,11.1,5.433333333333334,-24.8,137.6,11.0,-5.724137931034483,174.26666666666668,19.3,13.2,169.26666666666668,0.12,33.31818181818182,14.666666666666666,35.166666666666664,191.83333333333334,14.566666666666666,8.133333333333333,1.7,1.7,45.2,171.63333333333333,11.9,176.9,7.533333333333333,-8.466666666666667,151.16666666666666,20.8,-34.3,132.93333333333334,13.633333333333333,1.1,0.0,34.46666666666667,183.13333333333333,4196.0
1959-05,12.451612903225806,20.413793103448278,11.903225806451612,3.793103448275862,183.79310344827587,17.548387096774192,25.483870967741936,178.16129032258064,23.29032258064516,11.806451612903226,4.516129032258065,157.16129032258064,16.225806451612904,30.366666666666667,191.86666666666667,18.870967741935484,32.58064516129032,187.51612903225808,11.241379310344827,72.73913043478261,11.419354838709678,66.25806451612904,203.86666666666667,20.903225806451612,16.870967741935484,0.0,0.0,61.516129032258064,179.41935483870967,47.225806451612904,200.3548387096774,16.548387096774192,8.225806451612904,176.19354838709677,11.0,-1.7419354838709677,155.90322580645162,16.806451612903224,0.0,0.0,62.03225806451613,201.19354838709677,4196.05
1959-06,7.033333333333333,14.0,12.966666666666667,54.03333333333333,285.26666666666665,18.9,69.43333333333334,289.8333333333333,14.233333333333333,8.133333333333333,57.9,251.83333333333334,17.533333333333335,74.83333333333333,288.03333333333336,12.866666666666667,96.7,285.2,4.814814814814815,139.17391304347825,8.133333333333333,129.76666666666668,309.6333333333333,9.866666666666667,6.766666666666667,0.0,0.0,152.63333333333333,281.76666666666665,107.46666666666667,296.06666666666666,13.966666666666667,63.41379310344828,266.1034482758621,5.933333333333334,50.0,242.8,11.7,0.0,0.0,134.03333333333333,305.1333333333333,4195.95
1959-07,0.7419354838709677,2.064516129032258,4.193548387096774,65.93548387096774,324.8709677419355,1.6451612903225807,89.5909090909091,310.1363636363636,2.032258064516129,0.25806451612903225,74.38709677419355,283.8709677419355,3.129032258064516,95.36666666666666,313.6333333333333,3.7096774193548385,122.74193548387096,327.8709677419355,1.2258064516129032,166.47826086956522,5.580645161290323,156.46666666666667,341.93548387096774,0.9032258064516129,6.096774193548387,0.0,0.0,184.03225806451613,311.83870967741933,120.12903225806451,324.96774193548384,1.935483870967742,74.7741935483871,292.48387096774195,7.032258064516129,67.2258064516129,286.06451612903226,1.5806451612903225,0.0,0.0,161.93548387096774,339.2903225806452,4195.7
1959-08,9.903225806451612,22.967741935483872,13.516129032258064,60.483870967741936,301.61290322580646,11.903225806451612,81.0,298.2758620689655,11.67741935483871,7.548387096774194,67.54838709677419,263.741935483871,9.806451612903226,86.24137931034483,302.0344827586207,12.096774193548388,118.45161290322581,309.48387096774195,6.0,162.1818181818182,14.419354838709678,146.4516129032258,315.48387096774195,27.129032258064516,9.064516129032258,0.0,0.0,164.3548387096774,291.96774193548384,116.54838709677419,303.4193548387097,8.67741935483871,81.5,276.258064516129,8.064516129032258,51.0,266.16129032258067,14.451612903225806,0.0,0.0,151.6451612903226,316.16129032258067,4195.3
