,PRCP_US1UTWS0009,PRCP_USC00421285,PRCP_USC00421918,TMIN_USC00421918,TMAX_USC00421918,PRCP_USC00422294,TMIN_USC00422294,TMAX_USC00422294,PRCP_USC00422726,PRCP_USC00423335,TMIN_USC00424846,TMAX_USC00424846,PRCP_USC00425705,TMIN_USC00425705,TMAX_USC00425705,PRCP_USC00427255,TMIN_USC00427255,TMAX_USC00427255,PRCP_USC00427576,TMIN_USC00427576,PRCP_USC00428114,TMIN_USC00428114,TMAX_USC00428114,PRCP_USC00428668,PRCP_USC00428741,SNOW_USC00428741,SNWD_USC00428741,TMIN_USC00428741,TMAX_USC00428741,TMIN_USC00428939,TMAX_USC00428939,PRCP_USC00429133,TMIN_USC00429133,TMAX_USC00429133,PRCP_USC00429560,TMIN_USC00429560,TMAX_USC00429560,PRCP_USW00024126,SNOW_USW00024126,SNWD_USW00024126,TMIN_USW00024126,TMAX_USW00024126,depth
1958-11-16,0.0,25.0,0.0,-161.0,106.0,0.0,-139.0,-28.0,142.0,15.0,-144.0,-50.0,,-144.0,100.0,0.0,-133.0,-44.0,163.0,,91.0,-61.0,-17.0,0.0,71.0,127.0,457.0,-94.0,-44.0,-94.0,-39.0,0.0,-172.0,-39.0,0.0,-256.0,-17.0,0.0,0.0,229.0,-122.0,-17.0,
1958-11-17,0.0,13.0,0.0,-189.0,-44.0,0.0,-189.0,-83.0,10.0,0.0,-156.0,-78.0,0.0,-178.0,11.0,0.0,-172.0,-67.0,0.0,-150.0,124.0,-72.0,-17.0,3.0,79.0,178.0,533.0,-117.0,-50.0,-100.0,-44.0,0.0,-206.0,-78.0,0.0,-256.0,-106.0,5.0,10.0,127.0,-122.0,-28.0,
1958-11-18,0.0,0.0,0.0,-194.0,-39.0,0.0,-167.0,-44.0,0.0,0.0,-194.0,-22.0,0.0,-206.0,-11.0,0.0,-139.0,-33.0,0.0,-150.0,0.0,-117.0,-17.0,0.0,0.0,0.0,406.0,-161.0,-11.0,-167.0,-28.0,0.0,-178.0,-28.0,0.0,-250.0,-94.0,0.0,0.0,127.0,-144.0,-11.0,
1958-11-19,0.0,0.0,0.0,-150.0,-44.0,0.0,-111.0,33.0,0.0,0.0,-111.0,50.0,0.0,-117.0,39.0,0.0,-78.0,22.0,0.0,-106.0,0.0,-72.0,,0.0,0.0,0.0,356.0,-106.0,44.0,-117.0,39.0,0.0,-83.0,50.0,0.0,-161.0,39.0,0.0,0.0,51.0,-94.0,50.0,
1958-11-20,0.0,0.0,0.0,-100.0,11.0,0.0,-89.0,67.0,0.0,0.0,-28.0,94.0,0.0,-100.0,67.0,0.0,-33.0,67.0,0.0,-67.0,0.0,-72.0,67.0,0.0,0.0,0.0,305.0,-61.0,67.0,-78.0,50.0,0.0,-83.0,44.0,0.0,-106.0,39.0,0.0,0.0,25.0,-50.0,67.0,
1958-11-21,0.0,0.0,0.0,-72.0,50.0,0.0,-89.0,56.0,0.0,0.0,-72.0,28.0,0.0,-83.0,67.0,0.0,-44.0,72.0,0.0,-78.0,0.0,-44.0,61.0,0.0,0.0,0.0,279.0,-56.0,56.0,-83.0,39.0,0.0,-94.0,39.0,0.0,-106.0,-11.0,0.0,0.0,0.0,-44.0,67.0,
1958-11-22,0.0,0.0,0.0,-83.0,50.0,0.0,-94.0,50.0,0.0,0.0,-72.0,0.0,0.0,-67.0,78.0,0.0,-50.0,67.0,0.0,,0.0,-94.0,56.0,0.0,0.0,0.0,229.0,-56.0,61.0,-72.0,6.0,0.0,-100.0,67.0,0.0,-122.0,-17.0,0.0,0.0,0.0,-39.0,67.0,
1958-11-23,0.0,0.0,0.0,-78.0,50.0,0.0,-100.0,78.0,0.0,0.0,-78.0,0.0,0.0,-33.0,100.0,0.0,-78.0,89.0,0.0,,0.0,-111.0,44.0,0.0,0.0,0.0,203.0,-50.0,78.0,-83.0,-6.0,0.0,-67.0,72.0,0.0,-167.0,-22.0,0.0,0.0,0.0,-39.0,78.0,
1958-11-24,0.0,0.0,0.0,-78.0,50.0,0.0,-67.0,83.0,0.0,0.0,-61.0,83.0,0.0,-67.0,78.0,0.0,-39.0,78.0,0.0,-78.0,0.0,-44.0,72.0,0.0,0.0,0.0,178.0,-50.0,83.0,-67.0,39.0,0.0,-39.0,89.0,0.0,-106.0,78.0,0.0,0.0,0.0,-44.0,89.0,
1958-11-25,0.0,0.0,0.0,-67.0,67.0,0.0,-100.0,89.0,0.0,0.0,-72.0,72.0,0.0,-94.0,72.0,0.0,-44.0,50.0,0.0,-33.0,0.0,-17.0,89.0,0.0,0.0,0.0,152.0,-28.0,117.0,-28.0,61.0,0.0,-17.0,72.0,0.0,-72.0,56.0,0.0,0.0,0.0,-28.0,89.0,
